Time: 2017-08-30 13:35:27.891593  Beginning markovification
Time: 2017-08-30 13:35:27.905574  3
Time: 2017-08-30 13:35:27.918593  EXCEPTION IN (C:\users\grim\desktop\markovery\markov_functions\books.py, LINE 12 "book = Book.objects.get(pk=bookID) #bookID)"): Book matching query does not exist.
Time: 2017-08-30 13:35:27.923587  2
Time: 2017-08-30 13:35:27.929600  EXCEPTION IN (C:\users\grim\desktop\markovery\markov_functions\books.py, LINE 12 "book = Book.objects.get(pk=bookID) #bookID)"): Book matching query does not exist.
Time: 2017-08-30 13:35:27.934603  FailedFailed
Time: 2017-08-30 13:35:27.939599  Type: Simple
Time: 2017-08-30 13:35:28.143160  Beginning markovification
Time: 2017-08-30 13:35:28.155168  3
Time: 2017-08-30 13:35:28.172200  EXCEPTION IN (C:\users\grim\desktop\markovery\markov_functions\books.py, LINE 12 "book = Book.objects.get(pk=bookID) #bookID)"): Book matching query does not exist.
Time: 2017-08-30 13:35:28.184187  2
Time: 2017-08-30 13:35:28.198219  EXCEPTION IN (C:\users\grim\desktop\markovery\markov_functions\books.py, LINE 12 "book = Book.objects.get(pk=bookID) #bookID)"): Book matching query does not exist.
Time: 2017-08-30 13:35:28.205199  FailedFailed
Time: 2017-08-30 13:35:28.211202  Type: Simple
